root_txid,join_txid,address,label,type_byte,type_name,tone,tone_name,title,dimensions_json,total_bytes,blockheight,blocktime,body_file,notes,canonical_status
00109923db8b1004ac48470516af86d41e6cf26d8667c32be6c0b3edc0cdb664,a58e482a51adafc623887d1ff387b4bdac6755f8f2272c161124a661a1961b9f,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x0e,encrypted,0x00,ordinary,Para una conocida,"{""sub_family"": 174, ""variant"": 1}",135,6213570.0,1779227960,bodies/00109923db8b1004ac48470516af86d41e6cf26d8667c32be6c0b3edc0cdb664.bin,,pre_canonical
f7a8ee4f997f33682038192d1d378eec7260770588411bcd7fe8bebb6be3fa02,a58e482a51adafc623887d1ff387b4bdac6755f8f2272c161124a661a1961b9f,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x0e,encrypted,0x00,ordinary,cifrado,"{""sub_family"": 174, ""variant"": 0}",116,6213596.0,1779229964,bodies/f7a8ee4f997f33682038192d1d378eec7260770588411bcd7fe8bebb6be3fa02.bin,,pre_canonical
1bbc2dffbb40e1a93467a123a9af9890d8bb37253e420b7af0392d9f239ba818,a58e482a51adafc623887d1ff387b4bdac6755f8f2272c161124a661a1961b9f,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x0e,encrypted,0x00,ordinary,carta cifrada a tres,"{""sub_family"": 236, ""variant"": 0}",362,6213641.0,1779232137,bodies/1bbc2dffbb40e1a93467a123a9af9890d8bb37253e420b7af0392d9f239ba818.bin,,pre_canonical
43ea13fd8323f6326052668770d76bd17795ae6b89aa0ae2090a5408a520c17e,8eddfd373ac3dad368e699b257735392cade88c7d5d17e7bfc12066a0204f0ff,A3ShjwjsAE4ysM66EZJM3A28tPnL2jNDgC,multiman,0x0e,encrypted,0x00,ordinary,del multiman,"{""sub_family"": 236, ""variant"": 0}",373,6214446.0,1779283220,bodies/43ea13fd8323f6326052668770d76bd17795ae6b89aa0ae2090a5408a520c17e.bin,,pre_canonical
c277cd570bf36cdca153b95ee90d2d35d2b3d69619394d1f2c3d0d17b855f66c,a58e482a51adafc623887d1ff387b4bdac6755f8f2272c161124a661a1961b9f,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x0e,encrypted,0xff,reverence,,"{""sub_family"": 13, ""variant"": 0}",195,6214484.0,1779285563,bodies/c277cd570bf36cdca153b95ee90d2d35d2b3d69619394d1f2c3d0d17b855f66c.bin,,pre_canonical
4c89b5df1567fa02af3fb13430b01829ef63e4ec1fa0e9c0addba45c4a6ba258,9336717933d019b9a0880ebb54a13bd2d9a15fb813f602968d85a88e36d5b7d2,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x00,text,0x00,ordinary,Die Judenpredigt,{},1596,6216282.0,1779400420,bodies/4c89b5df1567fa02af3fb13430b01829ef63e4ec1fa0e9c0addba45c4a6ba258.bin,,canonical_v1
84fbbb17718523edf373630e68239fa9abda85297ba2aca8a69ace04f0ad5fb5,9336717933d019b9a0880ebb54a13bd2d9a15fb813f602968d85a88e36d5b7d2,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x01,essay,0x00,ordinary,El hebreo del joven Goethe,{},7365,6216282.0,1779400420,bodies/84fbbb17718523edf373630e68239fa9abda85297ba2aca8a69ace04f0ad5fb5.bin,,canonical_v1
94f700ad614d481f58a90fb5f5576d70b50c49a119cc6d1a2bb33c7620b18641,9336717933d019b9a0880ebb54a13bd2d9a15fb813f602968d85a88e36d5b7d2,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x03,image,0x00,ordinary,"Página de Práctica Hebrea de Goethe, c. 1760","{""H"": 485, ""W"": 748, ""bit_depth"": 5, ""color"": 0}",226798,6216282.0,1779400420,bodies/94f700ad614d481f58a90fb5f5576d70b50c49a119cc6d1a2bb33c7620b18641.bin,,canonical_v1
9cc887c578f809d45c65114a2345b1701c805defc050beb1771e27a555bd6ce3,9336717933d019b9a0880ebb54a13bd2d9a15fb813f602968d85a88e36d5b7d2,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x00,text,0x00,ordinary,La Rebelión de Fettmilch (1614),{},1878,6216282.0,1779400420,bodies/9cc887c578f809d45c65114a2345b1701c805defc050beb1771e27a555bd6ce3.bin,,canonical_v1
a4bb23790cc0bbcbcf7436a379c687d52c45e10904e769a08d4df71fd54bd8ae,9336717933d019b9a0880ebb54a13bd2d9a15fb813f602968d85a88e36d5b7d2,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x01,essay,0x00,ordinary,"Dichtung und Wahrheit (Libro IV, extracto)",{},3440,6216282.0,1779400420,bodies/a4bb23790cc0bbcbcf7436a379c687d52c45e10904e769a08d4df71fd54bd8ae.bin,,canonical_v1
1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,420d1b6b96f5015d7be73ea7e9d1581abe93f6cbdca7297dc44dd50753724cf8,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x3d,scene,0x00,ordinary,Cementerio de los Animales,{},1880,6217246.0,1779461171,bodies/1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3.bin,first canonical 0x3d scene inscription,canonical_v1
03a08c378859100c7caad72b808cc46874b026673bc3c04831282fe56690357b,da948e0e918fb83ce6974efd7babd403809b8c82d9d31ad5af903c832c8a6edb,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x03,image,0x0d,demonic,Augusto Pinochet Ugarte,"{""H"": 400, ""W"": 320, ""bit_depth"": 3, ""color"": 0}",48037,6217650.0,1779486717,bodies/03a08c378859100c7caad72b808cc46874b026673bc3c04831282fe56690357b.bin,demonic; consolidated cementerio inscription,canonical_v1
b0263c0f77a470567c5ef1ffa78f6879b2d9ae0458bae28836a5914ed15c570e,da948e0e918fb83ce6974efd7babd403809b8c82d9d31ad5af903c832c8a6edb,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x03,image,0x0d,demonic,"DINA, Invitación, Santiago, octubre 1975","{""H"": 420, ""W"": 320, ""bit_depth"": 3, ""color"": 0}",50455,6217650.0,1779486717,bodies/b0263c0f77a470567c5ef1ffa78f6879b2d9ae0458bae28836a5914ed15c570e.bin,demonic; consolidated cementerio inscription,canonical_v1
d442073b33f2a4d04292853abb39e171ae593fcc288a1e4fc2518d5d7a7e5985,da948e0e918fb83ce6974efd7babd403809b8c82d9d31ad5af903c832c8a6edb,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x01,essay,0x00,ordinary,Cementerio de los Animales,{},21106,6217650.0,1779486717,bodies/d442073b33f2a4d04292853abb39e171ae593fcc288a1e4fc2518d5d7a7e5985.bin,consolidated cementerio inscription,canonical_v1
8306eda8433bb95d24977d62042b65aae664947c670046887d6662bd723eba3c,2bfa34eabb280404628914a1e866a56672ae18f2a182f7eb98db623dfdcf55e4,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0xab,binding,0x00,ordinary,,{},44,6217751.0,1779493499,bodies/8306eda8433bb95d24977d62042b65aae664947c670046887d6662bd723eba3c.bin,cementerio corrections binding (URL prefix substitution),canonical_v1
449e67f4a2e948f044e1a32662b58ccedad3cf8e85a742cc45b6b6541e47b5d7,2bfa34eabb280404628914a1e866a56672ae18f2a182f7eb98db623dfdcf55e4,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x01,essay,0x00,ordinary,Cementerio de los Animales,{},357,6217751.0,1779493499,bodies/449e67f4a2e948f044e1a32662b58ccedad3cf8e85a742cc45b6b6541e47b5d7.bin,v2 republication of d442073b… (corrections via binding),canonical_v1
26671514416913719c560a4ac1246e333e410d2503e298a8a6852031c3285888,85cbc2bfc567a2396cda1993796a3e3c8394b7384820dee3c39464aad0ef3e45,D6zKNnkupqRbkB9p5rwix8QiobQWJazjyX,apocrypha,0x09,book,0x00,ordinary,Dos ensayos,{},203,6217912.0,1779503505,bodies/26671514416913719c560a4ac1246e333e410d2503e298a8a6852031c3285888.bin,first 0x09 book; two-entry library of Goethe yiddish + Cementerio de los Animales,canonical_v1
