source_quipu,consumer_quipu,hops,kind
34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,cff5f5bb049bcda098f8ac8ca6ec6779c57d6c7789dd767ce0fe2f62afbd64c4,2,funding
c277cd570bf36cdca153b95ee90d2d35d2b3d69619394d1f2c3d0d17b855f66c,f7a8ee4f997f33682038192d1d378eec7260770588411bcd7fe8bebb6be3fa02,0,keydrop
c277cd570bf36cdca153b95ee90d2d35d2b3d69619394d1f2c3d0d17b855f66c,1bbc2dffbb40e1a93467a123a9af9890d8bb37253e420b7af0392d9f239ba818,0,keydrop
6da7a9a9d8d651c48e0a979ea6d1f00ce03cd1388ea390c5fa2050f9b2fb4910,b92bbbf974ad7d1ba035d03b34ee455dadf4e85c365d841beb4443e55da0b66c,0,citation_image
6da7a9a9d8d651c48e0a979ea6d1f00ce03cd1388ea390c5fa2050f9b2fb4910,1ec0ee9b27d6ab91169b28f3acdada51cab8eb03af8c2a7e128d122a2dba7d0c,0,citation_auth
84fbbb17718523edf373630e68239fa9abda85297ba2aca8a69ace04f0ad5fb5,a4bb23790cc0bbcbcf7436a379c687d52c45e10904e769a08d4df71fd54bd8ae,0,citation
84fbbb17718523edf373630e68239fa9abda85297ba2aca8a69ace04f0ad5fb5,94f700ad614d481f58a90fb5f5576d70b50c49a119cc6d1a2bb33c7620b18641,0,citation
84fbbb17718523edf373630e68239fa9abda85297ba2aca8a69ace04f0ad5fb5,4c89b5df1567fa02af3fb13430b01829ef63e4ec1fa0e9c0addba45c4a6ba258,0,citation
84fbbb17718523edf373630e68239fa9abda85297ba2aca8a69ace04f0ad5fb5,9cc887c578f809d45c65114a2345b1701c805defc050beb1771e27a555bd6ce3,0,citation
449e67f4a2e948f044e1a32662b58ccedad3cf8e85a742cc45b6b6541e47b5d7,8306eda8433bb95d24977d62042b65aae664947c670046887d6662bd723eba3c,0,citation
449e67f4a2e948f044e1a32662b58ccedad3cf8e85a742cc45b6b6541e47b5d7,d442073b33f2a4d04292853abb39e171ae593fcc288a1e4fc2518d5d7a7e5985,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,62c2b42750c8ae44309cee68e7c40ae7639144124f97d6db0fc0d13df13751f0,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,762043aaaed3fd92d3e129aa94ffb53753ad0e98a58f3fd7ab816379c13de9c4,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,ac915b7bdf9f37b2eafaf9f9b6c6c974220d5336b39237c3127661d0dc399ce8,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,f2da803b67290489b001aefb517449ca784b532dda0b398a5490b5f9ce4e393e,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,77cd55bded8ea5ea5757e7526512cbfe276d89c88d1b01206f968ea8ad147061,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,6e10058f59cb709bdcaaf994b1dab448053ae482970155f4c34a60c20b89f366,0,citation
